subcarrier_5,subcarrier_9,subcarrier_10,subcarrier_13,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_39,subcarrier_41,subcarrier_44,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_83,subcarrier_84,subcarrier_86,subcarrier_87,subcarrier_91,subcarrier_92,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_118,subcarrier_119,subcarrier_121,subcarrier_124,subcarrier_125,subcarrier_127,timestamp
-9.0,-8.0,-23.0,-7.0,-7.0,-22.0,-6.0,-21.0,-6.0,-22.0,-5.0,-22.0,-5.0,-21.0,-5.0,-21.0,-21.0,-20.0,-4.0,-21.0,-4.0,-5.0,-6.0,-18.0,-5.0,-6.0,-16.0,-6.0,-16.0,-6.0,-15.0,-6.0,-5.0,-20.0,-6.0,-22.0,-7.0,-21.0,-22.0,-8.0,-9.0,-23.0,-23.0,-11.0,-12.0,-22.0,-23.0,-11.0,-22.0,-23.0,-11.0,-22.0,-10.0,-10.0,-23.0,-10.0,-23.0,-10.0,-22.0,-23.0,-9.0,-9.0,-24.0,-10.0,-9.0,98.7314
20.0,19.0,-13.0,19.0,19.0,-11.0,19.0,-10.0,19.0,-11.0,19.0,-11.0,18.0,-10.0,18.0,-10.0,-9.0,-9.0,17.0,-10.0,18.0,17.0,17.0,-9.0,15.0,15.0,-10.0,14.0,-10.0,14.0,-9.0,12.0,17.0,-12.0,17.0,-13.0,17.0,-14.0,-14.0,17.0,18.0,-15.0,-18.0,18.0,18.0,-17.0,-17.0,17.0,-17.0,-17.0,18.0,-16.0,17.0,18.0,-16.0,18.0,-16.0,19.0,-14.0,-14.0,19.0,19.0,-16.0,20.0,19.0,98.7374
19.0,17.0,-11.0,17.0,17.0,-9.0,17.0,-9.0,17.0,-9.0,17.0,-8.0,17.0,-8.0,17.0,-8.0,-8.0,-8.0,16.0,-8.0,16.0,15.0,15.0,-8.0,13.0,13.0,-8.0,13.0,-8.0,13.0,-8.0,12.0,16.0,-9.0,17.0,-10.0,16.0,-10.0,-11.0,17.0,17.0,-13.0,-14.0,18.0,17.0,-14.0,-14.0,17.0,-14.0,-14.0,17.0,-13.0,17.0,17.0,-13.0,17.0,-13.0,18.0,-12.0,-12.0,18.0,17.0,-12.0,19.0,18.0,98.7432
13.0,12.0,16.0,12.0,11.0,15.0,11.0,16.0,11.0,16.0,10.0,16.0,9.0,15.0,10.0,16.0,15.0,15.0,10.0,15.0,9.0,10.0,10.0,12.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,8.0,16.0,9.0,16.0,10.0,16.0,17.0,12.0,13.0,17.0,17.0,14.0,14.0,16.0,16.0,14.0,16.0,16.0,14.0,15.0,14.0,13.0,16.0,14.0,16.0,14.0,16.0,16.0,13.0,13.0,18.0,14.0,13.0,98.7489
-23.0,-21.0,0.0,-21.0,-21.0,0.0,-20.0,-1.0,-20.0,-1.0,-20.0,-2.0,-20.0,-2.0,-19.0,-2.0,-2.0,-2.0,-19.0,-2.0,-19.0,-18.0,-18.0,0.0,-16.0,-15.0,0.0,-15.0,0.0,-15.0,1.0,-15.0,-19.0,0.0,-19.0,0.0,-20.0,1.0,1.0,-21.0,-22.0,2.0,3.0,-23.0,-23.0,3.0,3.0,-22.0,4.0,3.0,-22.0,3.0,-21.0,-22.0,3.0,-22.0,3.0,-22.0,2.0,2.0,-22.0,-22.0,1.0,-23.0,-22.0,98.7541
-5.0,-6.0,-23.0,-4.0,-4.0,-22.0,-3.0,-22.0,-3.0,-21.0,-3.0,-22.0,-3.0,-21.0,-2.0,-22.0,-21.0,-21.0,-2.0,-20.0,-2.0,-2.0,-3.0,-18.0,-3.0,-3.0,-16.0,-4.0,-16.0,-4.0,-16.0,-4.0,-4.0,-21.0,-5.0,-21.0,-6.0,-21.0,-22.0,-6.0,-7.0,-23.0,-23.0,-9.0,-9.0,-23.0,-23.0,-10.0,-23.0,-23.0,-9.0,-23.0,-9.0,-8.0,-24.0,-8.0,-24.0,-8.0,-23.0,-24.0,-7.0,-7.0,-24.0,-7.0,-7.0,98.7596
-4.0,-4.0,-23.0,-3.0,-3.0,-21.0,-2.0,-22.0,-2.0,-22.0,-2.0,-22.0,-1.0,-21.0,-1.0,-21.0,-21.0,-21.0,-2.0,-21.0,-2.0,-2.0,-3.0,-18.0,-3.0,-3.0,-17.0,-3.0,-17.0,-3.0,-16.0,-4.0,-2.0,-21.0,-2.0,-22.0,-4.0,-22.0,-22.0,-4.0,-5.0,-24.0,-24.0,-7.0,-7.0,-24.0,-24.0,-7.0,-23.0,-24.0,-7.0,-23.0,-7.0,-6.0,-23.0,-6.0,-24.0,-7.0,-23.0,-24.0,-5.0,-5.0,-25.0,-5.0,-5.0,98.7655
-25.0,-24.0,1.0,-23.0,-23.0,0.0,-22.0,-1.0,-22.0,-1.0,-22.0,-1.0,-22.0,-2.0,-21.0,-2.0,-1.0,-1.0,-21.0,-1.0,-21.0,-20.0,-20.0,0.0,-18.0,-17.0,0.0,-17.0,1.0,-17.0,1.0,-16.0,-20.0,0.0,-21.0,1.0,-22.0,2.0,2.0,-23.0,-24.0,3.0,5.0,-24.0,-25.0,5.0,5.0,-24.0,5.0,5.0,-24.0,4.0,-23.0,-24.0,4.0,-24.0,3.0,-24.0,3.0,2.0,-24.0,-24.0,2.0,-25.0,-25.0,98.7714
16.0,16.0,-16.0,16.0,16.0,-15.0,16.0,-14.0,16.0,-14.0,16.0,-14.0,17.0,-13.0,16.0,-13.0,-13.0,-12.0,15.0,-13.0,16.0,14.0,14.0,-12.0,12.0,12.0,-12.0,11.0,-12.0,11.0,-12.0,10.0,14.0,-15.0,14.0,-16.0,14.0,-17.0,-17.0,14.0,14.0,-19.0,-20.0,14.0,14.0,-20.0,-20.0,14.0,-20.0,-20.0,14.0,-19.0,14.0,14.0,-19.0,14.0,-19.0,14.0,-18.0,-18.0,15.0,15.0,-18.0,16.0,16.0,98.7768
24.0,22.0,-2.0,22.0,22.0,-1.0,21.0,-1.0,21.0,0.0,21.0,-1.0,21.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,19.0,19.0,-1.0,17.0,16.0,-2.0,16.0,-2.0,16.0,-2.0,15.0,19.0,-3.0,20.0,-3.0,21.0,-4.0,-4.0,22.0,22.0,-6.0,-7.0,23.0,23.0,-7.0,-7.0,23.0,-7.0,-7.0,23.0,-6.0,22.0,22.0,-5.0,23.0,-5.0,23.0,-4.0,-4.0,23.0,23.0,-4.0,24.0,23.0,98.7827
25.0,23.0,0.0,22.0,22.0,1.0,21.0,2.0,21.0,2.0,21.0,2.0,21.0,2.0,21.0,2.0,2.0,2.0,19.0,2.0,20.0,19.0,18.0,0.0,17.0,17.0,0.0,16.0,-1.0,16.0,-1.0,15.0,19.0,1.0,20.0,1.0,21.0,0.0,-1.0,21.0,23.0,-1.0,-3.0,24.0,24.0,-3.0,-4.0,23.0,-4.0,-3.0,23.0,-3.0,22.0,23.0,-2.0,23.0,-2.0,24.0,-1.0,-1.0,23.0,23.0,-1.0,24.0,23.0,98.788
0.0,0.0,-23.0,2.0,2.0,-21.0,1.0,-21.0,2.0,-21.0,2.0,-21.0,3.0,-20.0,3.0,-21.0,-20.0,-20.0,2.0,-20.0,2.0,1.0,1.0,-17.0,1.0,1.0,-16.0,0.0,-16.0,0.0,-16.0,0.0,3.0,-21.0,2.0,-22.0,1.0,-22.0,-23.0,0.0,0.0,-25.0,-25.0,-1.0,-2.0,-24.0,-24.0,-3.0,-24.0,-25.0,-2.0,-24.0,-2.0,-2.0,-24.0,-1.0,-24.0,-1.0,-24.0,-24.0,0.0,-1.0,-25.0,0.0,1.0,98.7931
-3.0,-2.0,-21.0,0.0,0.0,-20.0,0.0,-20.0,0.0,-20.0,0.0,-20.0,1.0,-19.0,1.0,-20.0,-19.0,-19.0,1.0,-19.0,1.0,0.0,0.0,-16.0,-1.0,-1.0,-15.0,-1.0,-15.0,-1.0,-14.0,-1.0,1.0,-19.0,0.0,-20.0,-1.0,-20.0,-21.0,-2.0,-3.0,-22.0,-23.0,-4.0,-5.0,-22.0,-23.0,-5.0,-22.0,-23.0,-4.0,-22.0,-4.0,-4.0,-22.0,-4.0,-22.0,-3.0,-22.0,-22.0,-3.0,-2.0,-23.0,-2.0,-2.0,98.8902
-8.0,-7.0,24.0,-9.0,-9.0,21.0,-9.0,22.0,-9.0,21.0,-9.0,21.0,-10.0,20.0,-9.0,20.0,20.0,20.0,-9.0,20.0,-9.0,-8.0,-8.0,18.0,-7.0,-7.0,17.0,-6.0,17.0,-6.0,16.0,-5.0,-9.0,21.0,-8.0,22.0,-7.0,22.0,24.0,-7.0,-6.0,26.0,26.0,-5.0,-5.0,26.0,26.0,-4.0,26.0,26.0,-4.0,25.0,-5.0,-6.0,25.0,-6.0,26.0,-6.0,25.0,25.0,-7.0,-6.0,26.0,-7.0,-8.0,99.1183
-8.0,-8.0,19.0,-9.0,-8.0,17.0,-9.0,17.0,-9.0,17.0,-9.0,17.0,-10.0,16.0,-9.0,16.0,16.0,15.0,-9.0,16.0,-9.0,-8.0,-7.0,14.0,-7.0,-6.0,13.0,-6.0,13.0,-6.0,12.0,-5.0,-8.0,17.0,-8.0,18.0,-8.0,18.0,19.0,-7.0,-7.0,21.0,22.0,-6.0,-6.0,21.0,21.0,-5.0,21.0,21.0,-5.0,20.0,-6.0,-6.0,21.0,-6.0,21.0,-6.0,20.0,20.0,-7.0,-7.0,21.0,-8.0,-8.0,99.4207
25.0,23.0,1.0,23.0,22.0,2.0,21.0,3.0,21.0,3.0,21.0,4.0,21.0,4.0,20.0,4.0,4.0,4.0,19.0,4.0,20.0,19.0,19.0,2.0,17.0,16.0,2.0,16.0,1.0,16.0,1.0,16.0,21.0,0.0,21.0,0.0,22.0,-1.0,-1.0,23.0,24.0,-2.0,-3.0,24.0,25.0,-3.0,-3.0,24.0,-4.0,-3.0,24.0,-2.0,24.0,24.0,-2.0,24.0,-2.0,24.0,-1.0,-1.0,24.0,24.0,0.0,25.0,24.0,99.5311
-1.0,0.0,-24.0,1.0,0.0,-22.0,1.0,-22.0,1.0,-22.0,1.0,-22.0,2.0,-21.0,2.0,-21.0,-20.0,-21.0,2.0,-21.0,3.0,1.0,1.0,-17.0,0.0,1.0,-17.0,0.0,-17.0,0.0,-16.0,0.0,0.0,-23.0,0.0,-23.0,-1.0,-22.0,-24.0,-2.0,-2.0,-25.0,-25.0,-4.0,-4.0,-25.0,-25.0,-4.0,-25.0,-25.0,-5.0,-25.0,-4.0,-4.0,-25.0,-3.0,-25.0,-3.0,-25.0,-24.0,-2.0,-2.0,-26.0,-2.0,-1.0,99.5555
20.0,18.0,15.0,18.0,18.0,15.0,16.0,15.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,11.0,14.0,14.0,11.0,13.0,10.0,14.0,9.0,13.0,15.0,14.0,16.0,14.0,17.0,13.0,13.0,18.0,20.0,14.0,13.0,22.0,22.0,13.0,12.0,21.0,12.0,12.0,22.0,12.0,20.0,20.0,13.0,21.0,14.0,21.0,14.0,14.0,20.0,20.0,16.0,20.0,19.0,99.6563
2.0,2.0,-21.0,3.0,3.0,-20.0,4.0,-19.0,4.0,-20.0,4.0,-19.0,5.0,-19.0,5.0,-19.0,-18.0,-18.0,5.0,-19.0,5.0,4.0,4.0,-16.0,3.0,3.0,-15.0,3.0,-15.0,2.0,-15.0,2.0,1.0,-19.0,1.0,-21.0,0.0,-21.0,-21.0,0.0,-1.0,-23.0,-23.0,-2.0,-2.0,-22.0,-23.0,-2.0,-22.0,-23.0,-2.0,-22.0,-1.0,-1.0,-22.0,-1.0,-23.0,0.0,-22.0,-22.0,1.0,0.0,-23.0,1.0,1.0,99.8391
23.0,21.0,-1.0,21.0,21.0,0.0,20.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,19.0,2.0,2.0,2.0,18.0,2.0,19.0,18.0,17.0,1.0,16.0,16.0,0.0,15.0,-1.0,15.0,-1.0,14.0,19.0,-1.0,19.0,-2.0,20.0,-2.0,-3.0,21.0,22.0,-4.0,-5.0,22.0,23.0,-6.0,-6.0,22.0,-5.0,-5.0,22.0,-5.0,21.0,22.0,-4.0,22.0,-4.0,23.0,-3.0,-2.0,22.0,22.0,-3.0,23.0,22.0,100.012
-21.0,-20.0,-5.0,-19.0,-19.0,-6.0,-18.0,-6.0,-18.0,-6.0,-18.0,-6.0,-18.0,-7.0,-17.0,-7.0,-6.0,-6.0,-17.0,-6.0,-17.0,-16.0,-16.0,-4.0,-15.0,-14.0,-3.0,-14.0,-3.0,-14.0,-3.0,-14.0,-18.0,-6.0,-18.0,-6.0,-19.0,-5.0,-4.0,-20.0,-20.0,-4.0,-3.0,-21.0,-22.0,-2.0,-2.0,-22.0,-2.0,-3.0,-21.0,-3.0,-21.0,-21.0,-3.0,-21.0,-4.0,-21.0,-4.0,-4.0,-20.0,-21.0,-4.0,-21.0,-21.0,100.08
-2.0,-2.0,22.0,-4.0,-4.0,21.0,-4.0,20.0,-4.0,21.0,-5.0,21.0,-6.0,20.0,-5.0,20.0,19.0,20.0,-5.0,19.0,-5.0,-4.0,-4.0,17.0,-4.0,-3.0,16.0,-3.0,15.0,-3.0,15.0,-2.0,-3.0,21.0,-2.0,22.0,-1.0,22.0,23.0,0.0,0.0,24.0,24.0,2.0,2.0,24.0,24.0,2.0,23.0,24.0,2.0,23.0,1.0,1.0,24.0,1.0,24.0,0.0,23.0,23.0,-1.0,-1.0,24.0,-1.0,-1.0,100.203
11.0,11.0,17.0,10.0,9.0,17.0,8.0,16.0,8.0,17.0,8.0,17.0,7.0,17.0,7.0,17.0,16.0,16.0,7.0,16.0,7.0,7.0,7.0,13.0,7.0,7.0,12.0,7.0,12.0,7.0,11.0,7.0,8.0,16.0,8.0,16.0,9.0,16.0,16.0,10.0,11.0,17.0,16.0,13.0,13.0,16.0,16.0,13.0,16.0,16.0,13.0,15.0,12.0,12.0,17.0,12.0,17.0,12.0,16.0,17.0,11.0,11.0,18.0,12.0,12.0,100.252
-24.0,-22.0,2.0,-22.0,-22.0,1.0,-21.0,1.0,-21.0,0.0,-21.0,0.0,-21.0,0.0,-21.0,-1.0,-1.0,0.0,-20.0,0.0,-20.0,-19.0,-18.0,1.0,-17.0,-16.0,1.0,-16.0,2.0,-16.0,2.0,-15.0,-21.0,1.0,-21.0,1.0,-22.0,2.0,3.0,-22.0,-23.0,5.0,5.0,-24.0,-24.0,6.0,6.0,-23.0,6.0,5.0,-24.0,5.0,-23.0,-23.0,5.0,-23.0,5.0,-24.0,4.0,4.0,-23.0,-23.0,4.0,-24.0,-24.0,100.373
0.0,0.0,21.0,-1.0,-2.0,20.0,-2.0,19.0,-2.0,20.0,-3.0,19.0,-3.0,19.0,-3.0,19.0,18.0,18.0,-3.0,18.0,-3.0,-2.0,-2.0,15.0,-2.0,-2.0,14.0,-1.0,14.0,-1.0,14.0,-1.0,-1.0,20.0,-1.0,21.0,0.0,21.0,21.0,1.0,1.0,23.0,23.0,3.0,3.0,22.0,23.0,3.0,22.0,22.0,3.0,22.0,3.0,2.0,22.0,2.0,23.0,2.0,22.0,22.0,1.0,1.0,23.0,1.0,0.0,100.414
19.0,18.0,9.0,18.0,17.0,9.0,16.0,8.0,16.0,9.0,16.0,9.0,15.0,9.0,15.0,10.0,9.0,9.0,15.0,9.0,15.0,14.0,14.0,7.0,13.0,13.0,6.0,13.0,6.0,12.0,5.0,12.0,15.0,8.0,16.0,7.0,17.0,7.0,7.0,18.0,19.0,6.0,6.0,20.0,21.0,6.0,6.0,21.0,6.0,5.0,20.0,5.0,20.0,19.0,7.0,20.0,7.0,20.0,7.0,7.0,19.0,19.0,8.0,20.0,19.0,100.515
19.0,17.0,10.0,17.0,16.0,11.0,16.0,11.0,15.0,11.0,15.0,11.0,14.0,11.0,14.0,11.0,11.0,11.0,14.0,11.0,14.0,14.0,13.0,8.0,12.0,12.0,8.0,12.0,7.0,12.0,7.0,12.0,16.0,9.0,16.0,9.0,17.0,9.0,9.0,18.0,19.0,9.0,8.0,21.0,21.0,8.0,8.0,20.0,7.0,8.0,20.0,8.0,19.0,19.0,9.0,19.0,9.0,20.0,9.0,9.0,19.0,19.0,10.0,20.0,19.0,100.679
-18.0,-17.0,14.0,-18.0,-17.0,12.0,-17.0,11.0,-17.0,11.0,-17.0,10.0,-18.0,10.0,-17.0,10.0,10.0,10.0,-16.0,10.0,-17.0,-15.0,-15.0,9.0,-14.0,-13.0,9.0,-13.0,9.0,-12.0,9.0,-12.0,-16.0,12.0,-16.0,13.0,-16.0,13.0,14.0,-16.0,-17.0,16.0,17.0,-16.0,-16.0,17.0,17.0,-16.0,17.0,17.0,-16.0,16.0,-16.0,-16.0,16.0,-17.0,16.0,-16.0,15.0,15.0,-17.0,-17.0,15.0,-18.0,-18.0,100.799
-23.0,-22.0,1.0,-22.0,-22.0,0.0,-21.0,0.0,-21.0,-1.0,-21.0,-1.0,-21.0,-1.0,-20.0,-1.0,-1.0,-1.0,-20.0,-1.0,-19.0,-19.0,-18.0,0.0,-17.0,-16.0,0.0,-16.0,1.0,-16.0,1.0,-15.0,-20.0,1.0,-21.0,1.0,-21.0,2.0,3.0,-22.0,-23.0,4.0,5.0,-23.0,-24.0,5.0,5.0,-23.0,5.0,5.0,-23.0,4.0,-22.0,-23.0,4.0,-23.0,5.0,-23.0,3.0,3.0,-23.0,-23.0,3.0,-24.0,-23.0,100.89
17.0,16.0,-14.0,16.0,16.0,-12.0,16.0,-12.0,16.0,-12.0,16.0,-12.0,16.0,-12.0,16.0,-12.0,-11.0,-11.0,15.0,-11.0,16.0,14.0,14.0,-11.0,12.0,12.0,-11.0,11.0,-11.0,11.0,-10.0,10.0,16.0,-13.0,15.0,-14.0,15.0,-14.0,-15.0,16.0,16.0,-16.0,-18.0,16.0,16.0,-17.0,-18.0,15.0,-17.0,-18.0,15.0,-17.0,15.0,16.0,-16.0,16.0,-17.0,16.0,-16.0,-16.0,16.0,16.0,-16.0,18.0,17.0,101.215
-12.0,-11.0,-20.0,-10.0,-10.0,-20.0,-10.0,-20.0,-9.0,-20.0,-9.0,-20.0,-8.0,-19.0,-8.0,-20.0,-19.0,-18.0,-8.0,-19.0,-8.0,-8.0,-8.0,-16.0,-8.0,-8.0,-15.0,-8.0,-14.0,-8.0,-14.0,-8.0,-9.0,-19.0,-10.0,-20.0,-11.0,-19.0,-19.0,-12.0,-13.0,-21.0,-20.0,-15.0,-15.0,-20.0,-20.0,-15.0,-19.0,-20.0,-15.0,-19.0,-13.0,-14.0,-20.0,-14.0,-20.0,-14.0,-20.0,-20.0,-13.0,-13.0,-21.0,-13.0,-13.0,101.511
-17.0,-17.0,14.0,-17.0,-17.0,12.0,-17.0,12.0,-17.0,12.0,-17.0,11.0,-17.0,11.0,-17.0,10.0,10.0,10.0,-16.0,10.0,-16.0,-15.0,-15.0,9.0,-14.0,-13.0,9.0,-12.0,10.0,-12.0,10.0,-11.0,-16.0,13.0,-16.0,14.0,-16.0,14.0,15.0,-16.0,-16.0,17.0,18.0,-15.0,-16.0,17.0,18.0,-15.0,17.0,18.0,-15.0,17.0,-15.0,-15.0,16.0,-16.0,17.0,-16.0,16.0,16.0,-17.0,-16.0,16.0,-18.0,-18.0,101.631
20.0,18.0,8.0,18.0,17.0,8.0,17.0,8.0,16.0,9.0,16.0,9.0,15.0,9.0,15.0,9.0,8.0,8.0,15.0,8.0,15.0,14.0,14.0,6.0,13.0,13.0,5.0,12.0,5.0,12.0,4.0,12.0,15.0,8.0,16.0,8.0,17.0,7.0,7.0,18.0,19.0,7.0,6.0,20.0,20.0,6.0,6.0,20.0,6.0,6.0,20.0,6.0,19.0,19.0,7.0,20.0,7.0,20.0,7.0,7.0,19.0,19.0,8.0,19.0,19.0,101.938
24.0,22.0,-1.0,22.0,22.0,0.0,20.0,0.0,20.0,1.0,21.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,18.0,1.0,20.0,18.0,18.0,-1.0,16.0,16.0,-1.0,15.0,-1.0,15.0,-2.0,14.0,20.0,-1.0,19.0,-1.0,20.0,-2.0,-3.0,21.0,22.0,-4.0,-5.0,23.0,23.0,-5.0,-5.0,23.0,-5.0,-6.0,23.0,-5.0,22.0,23.0,-4.0,22.0,-4.0,23.0,-3.0,-3.0,23.0,23.0,-2.0,24.0,23.0,101.943
-17.0,-16.0,-16.0,-14.0,-14.0,-16.0,-13.0,-16.0,-13.0,-17.0,-13.0,-17.0,-12.0,-17.0,-12.0,-17.0,-16.0,-15.0,-11.0,-16.0,-11.0,-11.0,-11.0,-13.0,-11.0,-11.0,-12.0,-11.0,-12.0,-10.0,-11.0,-11.0,-13.0,-16.0,-14.0,-16.0,-15.0,-16.0,-16.0,-16.0,-17.0,-16.0,-15.0,-19.0,-20.0,-15.0,-15.0,-19.0,-15.0,-15.0,-19.0,-15.0,-18.0,-18.0,-16.0,-18.0,-16.0,-18.0,-16.0,-16.0,-17.0,-17.0,-17.0,-17.0,-17.0,102.058
-23.0,-22.0,4.0,-22.0,-22.0,2.0,-21.0,2.0,-21.0,2.0,-21.0,2.0,-21.0,1.0,-20.0,1.0,1.0,1.0,-20.0,1.0,-20.0,-19.0,-19.0,2.0,-17.0,-16.0,2.0,-16.0,3.0,-16.0,3.0,-15.0,-20.0,4.0,-20.0,4.0,-21.0,5.0,6.0,-21.0,-22.0,7.0,8.0,-22.0,-23.0,8.0,9.0,-22.0,8.0,8.0,-22.0,7.0,-22.0,-22.0,7.0,-23.0,7.0,-23.0,6.0,6.0,-23.0,-22.0,6.0,-24.0,-23.0,102.354
-14.0,-14.0,17.0,-14.0,-14.0,16.0,-14.0,16.0,-14.0,16.0,-15.0,15.0,-15.0,14.0,-15.0,14.0,14.0,14.0,-14.0,14.0,-14.0,-13.0,-13.0,13.0,-12.0,-11.0,12.0,-10.0,12.0,-10.0,12.0,-9.0,-12.0,16.0,-12.0,17.0,-12.0,18.0,18.0,-12.0,-12.0,20.0,21.0,-11.0,-11.0,20.0,21.0,-11.0,20.0,21.0,-11.0,20.0,-11.0,-12.0,20.0,-12.0,20.0,-12.0,19.0,19.0,-13.0,-13.0,20.0,-14.0,-14.0,102.588
10.0,8.0,21.0,8.0,7.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,5.0,20.0,5.0,21.0,20.0,19.0,5.0,20.0,6.0,6.0,6.0,16.0,6.0,6.0,15.0,6.0,15.0,7.0,14.0,6.0,5.0,21.0,6.0,22.0,6.0,21.0,22.0,8.0,9.0,23.0,23.0,10.0,11.0,22.0,23.0,11.0,22.0,22.0,11.0,22.0,11.0,10.0,22.0,10.0,22.0,11.0,22.0,23.0,9.0,10.0,24.0,9.0,8.0,102.78
22.0,20.0,-2.0,21.0,20.0,0.0,20.0,0.0,20.0,0.0,19.0,1.0,19.0,1.0,19.0,1.0,0.0,0.0,19.0,1.0,18.0,18.0,17.0,-1.0,16.0,15.0,-1.0,15.0,-1.0,14.0,-1.0,14.0,19.0,-2.0,20.0,-3.0,20.0,-4.0,-4.0,21.0,22.0,-5.0,-6.0,22.0,22.0,-6.0,-6.0,22.0,-6.0,-6.0,21.0,-6.0,22.0,21.0,-5.0,23.0,-4.0,22.0,-4.0,-4.0,22.0,21.0,-2.0,23.0,22.0,102.785
-5.0,-5.0,20.0,-6.0,-6.0,19.0,-6.0,19.0,-7.0,19.0,-7.0,19.0,-7.0,18.0,-7.0,18.0,17.0,18.0,-7.0,18.0,-6.0,-6.0,-5.0,15.0,-5.0,-5.0,15.0,-4.0,14.0,-4.0,14.0,-3.0,-7.0,19.0,-6.0,21.0,-5.0,20.0,21.0,-5.0,-4.0,23.0,23.0,-3.0,-3.0,23.0,23.0,-2.0,22.0,23.0,-3.0,22.0,-3.0,-3.0,22.0,-3.0,22.0,-3.0,22.0,22.0,-4.0,-4.0,23.0,-5.0,-6.0,102.994
7.0,6.0,-21.0,8.0,8.0,-20.0,8.0,-19.0,8.0,-19.0,8.0,-19.0,9.0,-18.0,8.0,-18.0,-18.0,-17.0,8.0,-17.0,9.0,8.0,7.0,-15.0,6.0,6.0,-15.0,6.0,-15.0,5.0,-15.0,5.0,6.0,-20.0,5.0,-21.0,5.0,-21.0,-22.0,4.0,4.0,-24.0,-25.0,3.0,3.0,-24.0,-24.0,3.0,-23.0,-24.0,3.0,-23.0,3.0,4.0,-23.0,4.0,-23.0,4.0,-23.0,-23.0,5.0,5.0,-23.0,6.0,6.0,103.128
16.0,15.0,-15.0,16.0,15.0,-14.0,15.0,-13.0,15.0,-13.0,15.0,-13.0,16.0,-13.0,15.0,-13.0,-12.0,-12.0,14.0,-12.0,15.0,13.0,13.0,-12.0,12.0,11.0,-11.0,11.0,-11.0,10.0,-11.0,10.0,15.0,-14.0,14.0,-15.0,14.0,-16.0,-16.0,15.0,15.0,-19.0,-20.0,14.0,14.0,-19.0,-19.0,14.0,-19.0,-19.0,14.0,-18.0,14.0,14.0,-18.0,15.0,-18.0,15.0,-17.0,-17.0,15.0,15.0,-17.0,16.0,16.0,103.197
-23.0,-22.0,5.0,-22.0,-21.0,4.0,-20.0,3.0,-21.0,3.0,-21.0,3.0,-21.0,2.0,-20.0,2.0,2.0,3.0,-20.0,2.0,-19.0,-18.0,-18.0,4.0,-16.0,-16.0,4.0,-15.0,4.0,-15.0,4.0,-15.0,-20.0,4.0,-20.0,4.0,-21.0,6.0,6.0,-21.0,-22.0,8.0,8.0,-22.0,-23.0,9.0,9.0,-22.0,9.0,9.0,-22.0,8.0,-21.0,-21.0,8.0,-22.0,8.0,-22.0,7.0,7.0,-22.0,-22.0,7.0,-24.0,-23.0,103.332
-24.0,-22.0,-3.0,-22.0,-21.0,-4.0,-21.0,-4.0,-20.0,-4.0,-21.0,-5.0,-20.0,-5.0,-20.0,-6.0,-5.0,-5.0,-19.0,-5.0,-19.0,-18.0,-18.0,-3.0,-17.0,-16.0,-3.0,-16.0,-2.0,-16.0,-2.0,-15.0,-20.0,-2.0,-21.0,-2.0,-22.0,-1.0,-1.0,-22.0,-23.0,0.0,1.0,-24.0,-25.0,2.0,2.0,-24.0,1.0,1.0,-24.0,1.0,-23.0,-23.0,0.0,-23.0,0.0,-24.0,-1.0,-1.0,-23.0,-23.0,-2.0,-24.0,-23.0,103.338
22.0,20.0,8.0,19.0,20.0,9.0,18.0,9.0,18.0,9.0,17.0,9.0,17.0,9.0,17.0,9.0,9.0,8.0,17.0,9.0,17.0,16.0,16.0,6.0,14.0,14.0,6.0,14.0,5.0,14.0,5.0,13.0,18.0,8.0,18.0,8.0,19.0,7.0,7.0,20.0,21.0,6.0,6.0,23.0,23.0,6.0,5.0,23.0,5.0,5.0,23.0,5.0,22.0,21.0,6.0,22.0,6.0,22.0,7.0,7.0,21.0,22.0,8.0,22.0,21.0,103.434
